Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
23-04-1985,,,24.5,89.0,45.0,0.0,0.0,0.0,0.0,N 
24-04-1985,,,24.3,96.0,0.0,0.0,0.0,0.0,0.0,N 
25-04-1985,,,25.8,86.0,0.0,0.0,0.0,0.0,0.0,N 
26-04-1985,,,25.8,86.0,0.0,0.0,0.0,0.0,0.0,N 
27-04-1985,,,25.8,83.0,0.0,0.0,0.0,0.0,0.0,N 
28-04-1985,,,24.4,88.0,0.0,0.0,0.0,0.0,0.0,N 
29-04-1985,,,23.5,90.0,0.0,0.0,0.0,0.0,0.0,N 
30-04-1985,,,23.8,87.0,0.0,0.0,0.0,0.0,0.0,N 
01-05-1985,,,25.7,82.0,0.0,0.0,0.0,0.0,0.0,N 
02-05-1985,,,25.1,85.0,0.0,0.0,0.0,0.0,0.0,N 
03-05-1985,,,25.5,82.0,0.0,0.0,0.0,0.0,0.0,N 
04-05-1985,,,25.1,89.0,75.0,0.0,0.0,0.0,0.0,N 
05-05-1985,,,25.2,95.0,27.0,0.0,0.0,0.0,0.0,N 
06-05-1985,,,26.2,97.0,8.0,0.0,0.0,0.0,0.0,N 
07-05-1985,,,23.9,94.0,45.0,0.0,0.0,0.0,0.0,N 
08-05-1985,,,23.9,97.0,4.0,0.0,0.0,0.0,0.0,N 
09-05-1985,,,26.0,47.0,24.0,0.0,0.0,0.0,0.0,N 
10-05-1985,,,25.0,96.0,34.0,0.0,0.0,0.0,0.0,N 
11-05-1985,,,25.2,92.0,49.0,0.0,0.0,0.0,0.0,N 
12-05-1985,,,24.8,93.0,8.0,0.0,0.0,0.0,0.0,N 
13-05-1985,,,25.6,93.0,78.0,0.0,0.0,0.0,0.0,N 
14-05-1985,,,24.2,97.0,2.0,0.0,0.0,0.0,0.0,N 
15-05-1985,,,25.1,92.0,1.0,0.0,0.0,0.0,0.0,N 
16-05-1985,,,24.4,98.0,49.0,0.0,0.0,0.0,0.0,N 
17-05-1985,,,25.5,93.0,9.0,0.0,0.0,0.0,0.0,N 
18-05-1985,,,25.3,94.0,0.0,0.0,0.0,0.0,0.0,N 
19-05-1985,,,24.1,97.0,20.0,0.0,0.0,0.0,0.0,N 
20-05-1985,,,24.0,99.0,16.0,0.0,0.0,0.0,0.0,N 
21-05-1985,,,24.4,95.0,0.0,0.0,0.0,0.0,0.0,N 
22-05-1985,,,25.6,88.0,64.0,0.0,0.0,0.0,0.0,N 
23-05-1985,,,24.6,95.0,9.0,0.0,0.0,0.0,0.0,N 
24-05-1985,,,25.0,92.0,0.0,0.0,0.0,0.0,0.0,N 
25-05-1985,,,25.1,92.0,0.0,0.0,0.0,0.0,0.0,N 
26-05-1985,,,25.2,89.0,0.0,0.0,0.0,0.0,0.0,N 
27-05-1985,,,25.1,96.0,0.0,0.0,0.0,0.0,0.0,N 
28-05-1985,,,25.8,91.0,0.0,0.0,0.0,0.0,0.0,N 
29-05-1985,,,24.0,86.0,0.0,0.0,0.0,0.0,0.0,N 
30-05-1985,,,28.9,97.0,28.0,0.0,0.0,0.0,0.0,N 
31-05-1985,,,23.8,89.0,0.0,0.0,0.0,0.0,0.0,N 
01-06-1985,,,24.7,92.0,0.0,0.0,0.0,0.0,0.0,N 
02-06-1985,,,24.8,85.0,0.0,0.0,0.0,0.0,0.0,N 
03-06-1985,,,23.9,92.0,0.0,0.0,0.0,0.0,0.0,N 
04-06-1985,,,23.4,94.0,0.0,0.0,0.0,0.0,0.0,N 
05-06-1985,,,24.1,86.0,0.0,0.0,0.0,0.0,0.0,N 
06-06-1985,,,24.5,89.0,0.0,0.0,0.0,0.0,0.0,N 
07-06-1985,,,25.1,87.0,2.0,0.0,0.0,0.0,0.0,N 
08-06-1985,,,24.4,90.0,0.0,0.0,0.0,0.0,0.0,N 
09-06-1985,,,24.2,91.0,0.0,0.0,0.0,0.0,0.0,N 
10-06-1985,,,25.1,85.0,0.0,0.0,0.0,0.0,0.0,N 
11-06-1985,,,23.1,87.0,55.0,0.0,0.0,0.0,0.0,N 
12-06-1985,,,24.5,94.0,18.0,0.0,0.0,0.0,0.0,N 
13-06-1985,,,25.1,92.0,0.0,0.0,0.0,0.0,0.0,N 
14-06-1985,,,25.0,87.0,4.0,0.0,0.0,0.0,0.0,N 
15-06-1985,,,24.7,90.0,2.0,0.0,0.0,0.0,0.0,N 
16-06-1985,,,25.0,84.0,9.0,0.0,0.0,0.0,0.0,N 
17-06-1985,,,23.2,95.0,6.0,0.0,0.0,0.0,0.0,N 
